X,Y,FID,NOMBRE,NOMBRE_VIA,NUM,LOCALIDAD,CODIGO_POSTAL,BARRIO,DISTRITO,TELEFONO,EMAIL
-3.7105999899999,40.4273856240001,32,Museo de Arte Contemporáneo de Madrid,CONDE DUQUE,9,MADRID,28015,CENTRO,CENTRO,915 885 928  /  915 885 861,mmacmdifusion@madrid.es
-3.70706542199997,40.4106955290001,33,Museo de Artes y Tradiciones Populares. Centro Cultural La Corrala,CARLOS ARNICHES,3,MADRID,28005,EMBAJADORES,CENTRO,914 976 500,museoatp@uam.es
-3.72620969199994,40.4494237420001,34,Museo de Astronomía y Geodesia,CIENCIAS,3,MADRID,28040,CIUDAD UNIVERSITARIA,MONCLOA-ARAVACA,913 944 615,astronomia_geodesia@mat.ucm.es
-3.65391953299996,40.3945307170001,35,Museo de Bomberos,BOADA,4,MADRID,28038,NUMANCIA,PUENTE DE VALLECAS,"91 478 65 72 (Museo),                                                                                                                                           
                                                                                                                                               
",jcbomberos@madrid.es
-3.69938994099994,40.4195260340001,36,Museo de Calcografía Nacional,ALCALA,13,MADRID,28014,SOL,CENTRO,915 240 864,calcografianacional.archivo@rabasf.org
-3.69142450199996,40.4244117980001,37,Museo de Cera,RECOLETOS,41,MADRID,28004,JUSTICIA,CENTRO,913 199 330,info@museoceramadrid.com
-3.68761235399995,40.4332273460001,38,Museo de Escultura al Aire Libre de la Castellana,CASTELLANA,40,MADRID,28046,CASTELLANA,SALAMANCA,,mmacmdifusion@madrid.es
-3.70083386699997,40.42576956,39,Museo de Historia de Madrid,FUENCARRAL,78,MADRID,28004,JUSTICIA,CENTRO,917 011 863,smuseosm@madrid.es
-3.69873617099995,40.437223714,40,Museo de Historia de la Comunidad Judía de Madrid,BALMES,3,MADRID,28010,TRAFALGAR,CHAMBERI,915 913 131 ,visitas@cjmadrid.org
-7.48874388399997,0.0,41,Museo de Mineralogía,COLMENAR VIEJO,19000,MADRID,28049,EL GOLOSO,FUENCARRAL-EL PARDO,914 974 132,
-3.71081609699996,40.412077943,42,Museo de San Isidro. Los Orígenes de Madrid,SAN ANDRES,1,MADRID,28005,PALACIO,CENTRO,913 667 415,museosanisidro@madrid.es
-3.68878192099993,40.477346406,43,Museo de Sanidad e Higiene Pública,MONFORTE DE LEMOS,5,MADRID,28029,LA PAZ,FUENCARRAL-EL PARDO,918 222 414  (Cita previa),museodesanidad@iscii.es
-3.69084422799995,40.4230008490001,44,Museo de la Biblioteca Nacional de España,RECOLETOS,20,MADRID,28001,RECOLETOS,SALAMANCA,915 168 967 / 915 807 759 de lunes a viernes de 9 a 14 horas.,museo@bne.es
-3.71241641699993,40.4174194650001,45,Museo de la Catedral de la Almudena,BAILEN,10,MADRID,28013,PALACIO,CENTRO,915 592 874,museo@catedraldelaalmudena.es
-3.72493911899994,40.446413706,46,Museo de la Farmacia Hispana,RAMON Y CAJAL,0,MADRID,28040,CIUDAD UNIVERSITARIA,MONCLOA-ARAVACA,913 941 797,museofar@ucm.es
-3.71102275199996,40.446256899,47,Museo de la Guardia Civil,GUZMAN EL BUENO,110,MADRID,28003,VALLEHERMOSO,CHAMBERI,"915 146 000, extensiones 48495 (Oficina Museo), 48477 (Salas Museo), ",dg-estuhistoricos-registro@guardiacivil.org
-3.70065534599996,40.4176535,48,Museo de la Real Academia de Bellas Artes de San Fernando,ALCALA,13,MADRID,28014,SOL,CENTRO,"915 240 864 (Centralita)                                                    
",museo@rabasf.org
-3.69380549599992,40.4002893100001,49,Museo del Ferrocarril de Madrid,DELICIAS,61,MADRID,28045,DELICIAS,ARGANZUELA,"915 390 085                                                                                
",
-3.69132544,40.4135835210001,50,Museo del Prado,RUIZ DE ALARCON,23,MADRID,28014,LOS JERONIMOS,RETIRO,913 302 800,
-3.69678853499994,40.4210192240001,51,Museo del Reloj Grassy,GRAN VIA,1,MADRID,28013,CORTES,CENTRO,915 321 007,
-3.69750623499993,40.427735634,52,Museo del Romanticismo,SAN MATEO,13,MADRID,28004,JUSTICIA,CENTRO,914 481 045 / 914 480 163,informacion.romanticismo@mecd.es
-3.69100752499997,40.425135014,53,Museo del Seguro. Fundación Mapfre,BARBARA DE BRAGANZA,14,MADRID,28004,JUSTICIA,CENTRO,"916 025 221 (para reservas)                                      
",
-3.72656110799994,40.441538667,54,Museo del Traje. Centro de Investigación del Patrimonio Etnológico (CIPE),JUAN DE HERRERA,2,MADRID,28040,CIUDAD UNIVERSITARIA,MONCLOA-ARAVACA,915 504 700 ,
-3.71268740899995,40.4207601470001,55,Palacio Real,BAILEN,0,MADRID,28013,PALACIO,CENTRO,914 548 700 (Información general),info@patrimonionacional.es
-3.77622735499995,40.5205303720001,56,Palacio Real de El Pardo,MANUEL ALONSO,8,MADRID,28048,EL PARDO,FUENCARRAL-EL PARDO,914 548 700 (Información general),info@patrimonionacional.es
-3.71132103499997,40.428687498,57,Palacio de Liria,PRINCESA,20,MADRID,28008,UNIVERSIDAD,CENTRO,915 475 302 / 915 481 550,info@fundacioncasadealba.com
-3.68213566699995,40.408106543,58,Panteón de Hombres Ilustres,JULIAN GAYARRE,3,MADRID,28014,PACIFICO,RETIRO,914 548 700 (Información general),info@patrimonionacional.es
-3.7039907499999,40.4164890910001,59,Parroquia Santa Cruz,ATOCHA,6,MADRID,28012,SOL,CENTRO,913 691 239,parroquiadesantacruz@hotmail.com / santacruz@archimadrid.es
-3.68495695199994,40.39227894,60,Planetario de Madrid,PLANETARIO,16,MADRID,28045,LEGAZPI,ARGANZUELA,"914 673 461 (reserva grupos)                                                                                                                                                                                                                                                                                                                                                                                                                                               
914 673 898 (contestador automático de información)",buzon@planetmad.es
-3.71322725699997,40.4127207550001,61,Real Basílica San Francisco el Grande,SAN BUENAVENTURA,1,MADRID,28005,PALACIO,CENTRO,913 653 800 ,
-3.68123857199993,40.407967688,62,Real Fábrica de Tapices,FUENTERRABIA,2,MADRID,28014,PACIFICO,RETIRO,914 340 550,informacion@realfabricadetapices.com
-3.69945478899996,40.412129215,63,Real Monasterio de Santa Isabel,SANTA ISABEL,48,MADRID,28012,EMBAJADORES,CENTRO,914 548 700 (Información general),info@patrimonionacional.es
-3.71156795799993,40.4196769490001,64,Real Monasterio de la Encarnación,ENCARNACION,1,MADRID,28013,PALACIO,CENTRO,914 548 700 (Información general),info@patrimonionacional.es
-3.71652006299996,40.4242499790001,65,Templo de Debod,FERRAZ,1,MADRID,28008,CASA DE CAMPO,MONCLOA-ARAVACA,913 667 415 (Museo de San Isidro / Templo de Debod),templodebod@madrid.es
-3.70687327,40.429498563,66,The Robot Museum (Museo del Robot),ALBERTO AGUILERA,1,MADRID,28015,UNIVERSIDAD,CENTRO,914 478 808,
-3.7428722399999,40.391515961,67,Yacimiento paleontológico. Estación de Metro Carpetana,VIA CARPETANA,328,MADRID,28047,ALUCHE,LATINA,902 444 403 (Información),
