,Provincias,Tipo de dato,Total,Year,Month
84,28 Madrid,Variaci髇 anual,2.5,2012,12
85,28 Madrid,Variaci髇 anual,2.8,2012,11
86,28 Madrid,Variaci髇 anual,3.4,2012,10
87,28 Madrid,Variaci髇 anual,3.2,2012,09
88,28 Madrid,Variaci髇 anual,2.5,2012,08
89,28 Madrid,Variaci髇 anual,2.2,2012,07
90,28 Madrid,Variaci髇 anual,2.0,2012,06
91,28 Madrid,Variaci髇 anual,2.0,2012,05
92,28 Madrid,Variaci髇 anual,2.0,2012,04
93,28 Madrid,Variaci髇 anual,1.9,2012,03
94,28 Madrid,Variaci髇 anual,2.0,2012,02
95,28 Madrid,Variaci髇 anual,2.0,2012,01
96,28 Madrid,Variaci髇 anual,2.5,2011,12
97,28 Madrid,Variaci髇 anual,2.9,2011,11
98,28 Madrid,Variaci髇 anual,3.0,2011,10
99,28 Madrid,Variaci髇 anual,3.1,2011,09
100,28 Madrid,Variaci髇 anual,2.9,2011,08
101,28 Madrid,Variaci髇 anual,2.9,2011,07
102,28 Madrid,Variaci髇 anual,3.0,2011,06
103,28 Madrid,Variaci髇 anual,3.3,2011,05
104,28 Madrid,Variaci髇 anual,3.6,2011,04
105,28 Madrid,Variaci髇 anual,3.4,2011,03
106,28 Madrid,Variaci髇 anual,3.4,2011,02
107,28 Madrid,Variaci髇 anual,3.1,2011,01
108,28 Madrid,Variaci髇 anual,3.0,2010,12
109,28 Madrid,Variaci髇 anual,2.3,2010,11
110,28 Madrid,Variaci髇 anual,2.3,2010,10
111,28 Madrid,Variaci髇 anual,2.1,2010,09
112,28 Madrid,Variaci髇 anual,1.8,2010,08
113,28 Madrid,Variaci髇 anual,1.9,2010,07
114,28 Madrid,Variaci髇 anual,1.5,2010,06
115,28 Madrid,Variaci髇 anual,1.9,2010,05
116,28 Madrid,Variaci髇 anual,1.6,2010,04
117,28 Madrid,Variaci髇 anual,1.6,2010,03
118,28 Madrid,Variaci髇 anual,0.9,2010,02
119,28 Madrid,Variaci髇 anual,1.1,2010,01
120,28 Madrid,Variaci髇 anual,0.9,2009,12
121,28 Madrid,Variaci髇 anual,0.5,2009,11
122,28 Madrid,Variaci髇 anual,-0.4,2009,10
123,28 Madrid,Variaci髇 anual,-0.7,2009,09
124,28 Madrid,Variaci髇 anual,-0.5,2009,08
125,28 Madrid,Variaci髇 anual,-1.0,2009,07
126,28 Madrid,Variaci髇 anual,-0.7,2009,06
127,28 Madrid,Variaci髇 anual,-0.7,2009,05
128,28 Madrid,Variaci髇 anual,0.1,2009,04
129,28 Madrid,Variaci髇 anual,0.0,2009,03
130,28 Madrid,Variaci髇 anual,0.8,2009,02
131,28 Madrid,Variaci髇 anual,1.0,2009,01
