GENESIS-Tabelle: 33111-0002
Soil area (actual use): Länder, reference date,;;;;;;;;;;;;;;;;;;
types of use;;;;;;;;;;;;;;;;;;
Survey of areas by type of actual use;;;;;;;;;;;;;;;;;;
Soil area (sq km);;;;;;;;;;;;;;;;;;
;;Baden-Württemberg;Bayern;Berlin;Brandenburg;Bremen;Hamburg;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Nordrhein-Westfalen;Rheinland-Pfalz;Saarland;Sachsen;Sachsen-Anhalt;Schleswig-Holstein;Thüringen;Total
2019-12-31;Transport;1986.88;3323.71;135.49;1099.81;52.14;93.98;1441.58;706.42;2472.04;2386.98;1203.43;161.89;810.87;791.85;690.70;697.89;18055.66
2019-12-31;Road transport;984.88;1748.11;101.23;676.58;29.29;66.25;581.69;362.06;1330.59;1304.73;513.11;115.36;476.97;369.79;453.58;301.20;9415.43
2019-12-31;Path;824.39;1300.68;5.54;249.99;9.30;5.76;727.02;237.24;934.39;816.85;588.92;26.46;197.65;318.52;161.73;323.56;6728.00
2019-12-31;Square;37.93;57.61;3.85;16.24;1.53;1.76;23.61;12.16;41.21;63.82;29.65;3.73;16.44;15.36;14.46;10.12;349.47
2019-12-31;Rail transport;111.36;160.28;20.17;108.63;7.11;10.58;80.20;57.00;126.20;151.63;52.86;14.73;99.97;75.67;33.82;53.39;1163.60
2019-12-31;Air transport;27.87;53.55;4.58;47.17;2.92;9.54;28.34;35.32;35.48;46.46;17.83;1.60;19.84;10.66;23.74;9.63;374.55
2019-12-31;Waterways transport;0.45;3.47;0.13;1.21;1.98;0.08;0.71;2.62;4.16;3.49;1.06;0.01;-;1.85;3.37;-;24.61
2019-12-31;Vegetation;30048.87;60618.95;203.80;25520.20;133.81;248.18;17405.56;19966.79;39750.80;25417.23;16671.46;1989.27;15302.50;17642.41;12914.17;14063.15;297897.17
2019-12-31;Agriculture;16115.45;32654.83;35.70;14426.13;117.56;172.49;8777.70;14388.38;27704.32;16078.48;8110.13;1102.52;9987.10;12334.46;10841.93;8432.72;181279.92
2019-12-31;Forest;13526.58;24923.26;157.75;10320.03;4.55;42.42;8405.20;4944.57;10310.21;8471.15;8060.10;856.02;4955.43;4575.87;1625.92;5408.73;106587.79
2019-12-31;Trees and shrubs;180.96;900.95;7.48;272.87;5.59;19.33;131.68;220.34;608.34;594.43;451.84;14.23;93.75;546.18;57.08;133.97;4239.02
2019-12-31;Heath;12.90;17.80;0.06;129.34;0.69;2.61;1.37;17.17;239.96;50.46;3.78;0.97;27.15;145.82;22.10;13.15;685.33
2019-12-31;Moor;20.09;128.12;0.45;1.44;0.35;1.98;0.83;29.04;515.49;13.37;0.80;0.02;0.62;1.14;87.99;0.47;802.21
2019-12-31;Mire;3.22;22.84;0.55;38.45;2.49;2.55;4.65;132.53;64.41;12.97;5.36;0.28;5.18;37.77;42.19;5.01;380.45
2019-12-31;Infertile land, area without vegetation;189.66;1971.15;1.80;331.95;2.58;6.80;84.12;234.77;308.08;196.37;39.44;15.22;233.27;1.17;236.96;69.09;3922.46
2019-12-31;Water body;391.36;1216.30;58.47;997.64;49.21;61.94;292.06;1334.73;1009.63;621.85;284.94;25.73;438.27;452.78;765.56;194.28;8194.75
2019-12-31;Body of running water;282.87;501.93;30.00;345.66;38.98;42.94;218.56;201.52;634.85;325.48;218.49;20.49;145.70;245.58;274.77;96.19;3624.00
2019-12-31;Port basin;5.17;1.69;0.60;0.73;5.63;7.26;1.35;6.14;11.96;8.26;4.48;0.11;0.53;1.89;18.01;-;73.82
2019-12-31;Body of standing water;103.32;712.69;27.88;651.25;4.59;7.48;72.15;935.45;338.21;288.11;61.97;5.13;292.04;205.31;357.52;98.10;4161.19
2019-12-31;Sea;-;-;-;-;-;4.26;-;191.63;24.61;-;-;-;-;-;115.25;-;335.75
2019-12-31;Total;35747.83;70541.57;891.12;29654.43;420.08;755.09;21115.64;23294.22;47709.80;34112.44;19858.00;2571.10;18449.93;20456.51;15800.54;16202.35;357580.65
__________
"Baden-Württemberg:
Including Rheinau (Ortenau district) and Gutsbezirk
Münsingen (rural district of Reutlingen), which are not
attached to a municipality.

Rheinland-Pfalz, Saarland:
Including the German-Luxembourg condominium."
© Federal Statistical Office, Wiesbaden 2020
created: 2020-11-24 / 20:16:57
