GENESIS-Tabelle: 91211-0001
Science and technology indicators: Länder, Jahre (until;;;;;;;;
2009);;;;;;;;
Science and technology indicators;;;;;;;;
Indicators (unit app.);;;;;;;;
;;2003;2004;2005;2006;2007;2008;2009
Berlin;R&D expenditure as a proportion of GDP (%);3.95;4.00;3.84;3.92;3.38;3.53;3.64
Berlin;R&D exp. as proportion of GDP - business sector(%);2.00;2.03;1.87;1.95;1.40;1.43;1.49
Berlin;R&D exp. as proportion of GDP - gov. sector (%);1.10;1.12;1.14;1.10;1.12;1.18;1.23
Berlin;R&D exp. as prop. of GDP - higher educ. sector (%);0.85;0.85;0.83;0.87;0.86;0.93;0.93
Berlin;R&D staff as a proportion of the labour force (%);1.60;...;1.46;...;1.43;...;1.58
Berlin;R&D staff as prop.of labour force - bus.sector (%);0.71;...;0.60;...;0.54;...;0.60
Berlin;R&D staff as prop.of labour force - gov.sector (%);0.49;0.52;0.48;0.50;0.51;0.53;0.54
Berlin;R&D staff as prop.of labour f. - higher ed.sec.(%);0.39;0.40;0.38;0.41;0.38;0.42;0.44
Berlin;Ratio of human res.(sc./tech.) to labour force (%);47.60;48.40;49.40;50.30;52.00;49.60;49.20
Berlin;Tertiary graduation rate (%);28.03;29.34;33.45;32.29;30.69;32.49;35.53
Berlin;Third-p. funds inst. of h.ed. per prof.(EUR 1,000);115.98;101.67;123.17;131.87;137.40;154.66;173.19
Berlin;High-tech employment as prop. of total empl. (%);1.69;1.47;1.40;1.42;...;...;...
Berlin;Patent applications (EPO) per 1,000,000 inhab.;163.47;173.60;198.80;207.98;213.35;135.54;...
Brandenburg;R&D expenditure as a proportion of GDP (%);1.16;1.23;1.19;1.24;1.22;1.33;1.38
Brandenburg;R&D exp. as proportion of GDP - business sector(%);0.33;0.33;0.29;0.30;0.32;0.34;0.34
Brandenburg;R&D exp. as proportion of GDP - gov. sector (%);0.55;0.61;0.62;0.67;0.64;0.70;0.71
Brandenburg;R&D exp. as prop. of GDP - higher educ. sector (%);0.29;0.29;0.28;0.27;0.26;0.29;0.33
Brandenburg;R&D staff as a proportion of the labour force (%);...;...;0.44;...;0.48;...;0.52
Brandenburg;R&D staff as prop.of labour force - bus.sector (%);...;...;0.12;...;0.15;...;0.15
Brandenburg;R&D staff as prop.of labour force - gov.sector (%);...;0.22;0.22;0.22;0.23;0.24;0.25
Brandenburg;R&D staff as prop.of labour f. - higher ed.sec.(%);...;0.10;0.10;0.10;0.10;0.10;0.12
Brandenburg;Ratio of human res.(sc./tech.) to labour force (%);38.40;39.20;39.80;38.40;38.70;41.90;43.00
Brandenburg;Tertiary graduation rate (%);13.54;12.79;13.54;15.71;16.35;19.18;21.32
Brandenburg;Third-p. funds inst. of h.ed. per prof.(EUR 1,000);69.37;73.23;67.99;72.70;75.33;91.78;119.20
Brandenburg;High-tech employment as prop. of total empl. (%);0.91;1.09;...;...;...;...;...
Brandenburg;Patent applications (EPO) per 1,000,000 inhab.;82.15;82.28;98.65;108.72;119.24;73.69;...
Bremen;R&D expenditure as a proportion of GDP (%);2.73;2.68;2.19;2.23;2.19;2.40;2.47
Bremen;R&D exp. as proportion of GDP - business sector(%);1.40;1.38;0.92;0.95;0.87;0.91;0.91
Bremen;R&D exp. as proportion of GDP - gov. sector (%);0.63;0.60;0.63;0.71;0.73;0.82;0.85
Bremen;R&D exp. as prop. of GDP - higher educ. sector (%);0.70;0.70;0.64;0.58;0.59;0.67;0.71
Bremen;R&D staff as a proportion of the labour force (%);1.80;...;1.50;...;1.56;...;1.67
Bremen;R&D staff as prop.of labour force - bus.sector (%);0.82;...;0.58;...;0.58;...;0.59
Bremen;R&D staff as prop.of labour force - gov.sector (%);0.41;0.40;0.42;0.44;0.48;0.50;0.54
Bremen;R&D staff as prop.of labour f. - higher ed.sec.(%);0.57;0.52;0.50;0.48;0.50;0.53;0.54
Bremen;Ratio of human res.(sc./tech.) to labour force (%);36.90;39.30;37.80;42.00;42.20;44.40;43.90
Bremen;Tertiary graduation rate (%);23.16;24.59;32.47;36.16;40.23;46.88;54.90
Bremen;Third-p. funds inst. of h.ed. per prof.(EUR 1,000);118.78;134.96;119.16;123.03;145.21;152.61;171.85
Bremen;High-tech employment as prop. of total empl. (%);...;...;...;...;...;...;...
Bremen;Patent applications (EPO) per 1,000,000 inhab.;103.81;100.51;98.39;117.17;87.73;57.88;...
Hamburg;R&D expenditure as a proportion of GDP (%);1.86;1.81;1.87;1.91;1.94;2.08;2.28
Hamburg;R&D exp. as proportion of GDP - business sector(%);1.12;1.08;1.13;1.17;1.15;1.21;1.27
Hamburg;R&D exp. as proportion of GDP - gov. sector (%);0.36;0.35;0.35;0.37;0.43;0.43;0.48
Hamburg;R&D exp. as prop. of GDP - higher educ. sector (%);0.38;0.38;0.40;0.37;0.36;0.44;0.53
Hamburg;R&D staff as a proportion of the labour force (%);1.28;...;1.22;...;1.29;...;1.35
Hamburg;R&D staff as prop.of labour force - bus.sector (%);0.70;...;0.67;...;0.70;...;0.75
Hamburg;R&D staff as prop.of labour force - gov.sector (%);0.27;0.29;0.28;0.30;0.28;0.28;0.28
Hamburg;R&D staff as prop.of labour f. - higher ed.sec.(%);0.31;0.30;0.28;0.30;0.31;0.35;0.33
Hamburg;Ratio of human res.(sc./tech.) to labour force (%);46.80;44.70;46.90;48.90;44.80;48.40;49.70
Hamburg;Tertiary graduation rate (%);23.60;25.12;26.55;26.73;26.73;29.37;31.58
Hamburg;Third-p. funds inst. of h.ed. per prof.(EUR 1,000);58.70;65.55;80.77;80.93;86.54;105.95;113.20
Hamburg;High-tech employment as prop. of total empl. (%);1.21;0.66;...;...;...;...;...
Hamburg;Patent applications (EPO) per 1,000,000 inhab.;217.19;204.32;218.04;208.60;197.50;142.77;...
Hessen;R&D expenditure as a proportion of GDP (%);2.65;2.59;2.59;2.69;2.64;2.80;3.02
Hessen;R&D exp. as proportion of GDP - business sector(%);2.17;2.12;2.11;2.16;2.14;2.23;2.40
Hessen;R&D exp. as proportion of GDP - gov. sector (%);0.17;0.16;0.16;0.17;0.16;0.18;0.22
Hessen;R&D exp. as prop. of GDP - higher educ. sector (%);0.32;0.31;0.32;0.36;0.34;0.39;0.40
Hessen;R&D staff as a proportion of the labour force (%);1.33;...;1.28;...;1.44;...;1.48
Hessen;R&D staff as prop.of labour force - bus.sector (%);1.02;...;0.99;...;1.12;...;1.14
Hessen;R&D staff as prop.of labour force - gov.sector (%);0.10;0.10;0.10;0.11;0.11;0.11;0.12
Hessen;R&D staff as prop.of labour f. - higher ed.sec.(%);0.21;0.19;0.18;0.20;0.20;0.21;0.22
Hessen;Ratio of human res.(sc./tech.) to labour force (%);43.60;43.90;44.30;44.90;42.30;45.70;43.00
Hessen;Tertiary graduation rate (%);18.92;19.45;21.84;23.22;26.37;28.84;30.81
Hessen;Third-p. funds inst. of h.ed. per prof.(EUR 1,000);78.65;84.41;90.31;83.86;93.40;106.60;123.05
Hessen;High-tech employment as prop. of total empl. (%);2.20;2.21;1.90;1.59;1.41;1.71;...
Hessen;Patent applications (EPO) per 1,000,000 inhab.;285.89;316.06;315.51;309.96;324.39;181.92;...
Mecklenburg-Vorpommern;R&D expenditure as a proportion of GDP (%);1.28;1.35;1.42;1.42;1.31;1.46;1.75
Mecklenburg-Vorpommern;R&D exp. as proportion of GDP - business sector(%);0.26;0.26;0.31;0.32;0.38;0.40;0.55
Mecklenburg-Vorpommern;R&D exp. as proportion of GDP - gov. sector (%);0.52;0.57;0.61;0.56;0.54;0.57;0.68
Mecklenburg-Vorpommern;R&D exp. as prop. of GDP - higher educ. sector (%);0.49;0.51;0.50;0.55;0.39;0.48;0.51
Mecklenburg-Vorpommern;R&D staff as a proportion of the labour force (%);0.47;...;0.46;...;0.51;...;0.58
Mecklenburg-Vorpommern;R&D staff as prop.of labour force - bus.sector (%);0.10;...;0.10;...;0.14;...;0.20
Mecklenburg-Vorpommern;R&D staff as prop.of labour force - gov.sector (%);0.17;0.18;0.18;0.18;0.19;0.19;0.21
Mecklenburg-Vorpommern;R&D staff as prop.of labour f. - higher ed.sec.(%);0.19;0.19;0.18;0.19;0.17;0.16;0.17
Mecklenburg-Vorpommern;Ratio of human res.(sc./tech.) to labour force (%);36.20;37.90;36.00;34.50;34.50;36.80;37.90
Mecklenburg-Vorpommern;Tertiary graduation rate (%);14.24;14.04;16.87;17.63;17.89;19.79;19.75
Mecklenburg-Vorpommern;Third-p. funds inst. of h.ed. per prof.(EUR 1,000);55.77;56.01;58.59;74.70;73.25;91.84;103.54
Mecklenburg-Vorpommern;High-tech employment as prop. of total empl. (%);...;...;...;...;...;...;...
Mecklenburg-Vorpommern;Patent applications (EPO) per 1,000,000 inhab.;41.04;50.50;37.26;56.30;59.59;30.56;...
Niedersachsen;R&D expenditure as a proportion of GDP (%);2.86;2.80;2.25;2.29;2.49;2.63;2.69
Niedersachsen;R&D exp. as proportion of GDP - business sector(%);2.09;2.08;1.50;1.54;1.72;1.79;1.77
Niedersachsen;R&D exp. as proportion of GDP - gov. sector (%);0.31;0.29;0.33;0.33;0.34;0.37;0.41
Niedersachsen;R&D exp. as prop. of GDP - higher educ. sector (%);0.45;0.43;0.41;0.42;0.43;0.47;0.50
Niedersachsen;R&D staff as a proportion of the labour force (%);1.01;...;0.94;...;1.04;...;1.01
Niedersachsen;R&D staff as prop.of labour force - bus.sector (%);0.61;...;0.59;...;0.64;...;0.61
Niedersachsen;R&D staff as prop.of labour force - gov.sector (%);0.18;0.16;0.18;0.18;0.18;0.19;0.18
Niedersachsen;R&D staff as prop.of labour f. - higher ed.sec.(%);0.22;0.19;0.17;0.18;0.21;0.22;0.23
Niedersachsen;Ratio of human res.(sc./tech.) to labour force (%);38.20;39.40;38.60;37.20;38.50;36.70;38.60
Niedersachsen;Tertiary graduation rate (%);17.91;20.03;21.16;21.43;22.79;25.94;28.46
Niedersachsen;Third-p. funds inst. of h.ed. per prof.(EUR 1,000);93.92;94.23;97.94;111.13;119.48;138.28;141.55
Niedersachsen;High-tech employment as prop. of total empl. (%);1.43;1.54;1.06;1.06;1.00;1.50;...
Niedersachsen;Patent applications (EPO) per 1,000,000 inhab.;179.57;169.89;177.21;168.90;171.12;123.61;...
Nordrhein-Westfalen;R&D expenditure as a proportion of GDP (%);1.80;1.78;1.79;1.81;1.80;1.87;2.04
Nordrhein-Westfalen;R&D exp. as proportion of GDP - business sector(%);1.09;1.08;1.10;1.13;1.14;1.17;1.23
Nordrhein-Westfalen;R&D exp. as proportion of GDP - gov. sector (%);0.27;0.27;0.27;0.27;0.27;0.27;0.32
Nordrhein-Westfalen;R&D exp. as prop. of GDP - higher educ. sector (%);0.44;0.43;0.43;0.41;0.40;0.43;0.49
Nordrhein-Westfalen;R&D staff as a proportion of the labour force (%);0.91;...;0.87;...;0.92;...;0.98
Nordrhein-Westfalen;R&D staff as prop.of labour force - bus.sector (%);0.50;...;0.49;...;0.54;...;0.56
Nordrhein-Westfalen;R&D staff as prop.of labour force - gov.sector (%);0.16;0.17;0.16;0.16;0.16;0.16;0.17
Nordrhein-Westfalen;R&D staff as prop.of labour f. - higher ed.sec.(%);0.25;0.23;0.22;0.22;0.23;0.23;0.24
Nordrhein-Westfalen;Ratio of human res.(sc./tech.) to labour force (%);39.20;39.20;39.50;39.10;40.20;41.30;41.20
Nordrhein-Westfalen;Tertiary graduation rate (%);17.84;19.26;20.49;23.23;26.13;27.04;30.54
Nordrhein-Westfalen;Third-p. funds inst. of h.ed. per prof.(EUR 1,000);99.12;94.23;97.94;119.49;134.52;141.34;154.04
Nordrhein-Westfalen;High-tech employment as prop. of total empl. (%);1.47;1.24;1.24;1.07;1.31;1.31;...
Nordrhein-Westfalen;Patent applications (EPO) per 1,000,000 inhab.;245.46;252.89;253.07;242.91;240.55;157.04;...
Rheinland-Pfalz;R&D expenditure as a proportion of GDP (%);1.79;1.76;1.71;1.78;1.87;1.96;2.11
Rheinland-Pfalz;R&D exp. as proportion of GDP - business sector(%);1.29;1.26;1.21;1.26;1.38;1.45;1.54
Rheinland-Pfalz;R&D exp. as proportion of GDP - gov. sector (%);0.15;0.17;0.16;0.17;0.15;0.15;0.17
Rheinland-Pfalz;R&D exp. as prop. of GDP - higher educ. sector (%);0.35;0.33;0.34;0.35;0.34;0.36;0.40
Rheinland-Pfalz;R&D staff as a proportion of the labour force (%);0.81;...;0.72;...;0.80;...;0.86
Rheinland-Pfalz;R&D staff as prop.of labour force - bus.sector (%);0.59;...;0.51;...;0.58;...;0.61
Rheinland-Pfalz;R&D staff as prop.of labour force - gov.sector (%);0.06;0.08;0.07;0.07;0.08;0.09;0.09
Rheinland-Pfalz;R&D staff as prop.of labour f. - higher ed.sec.(%);0.16;0.16;0.15;0.15;0.14;0.13;0.16
Rheinland-Pfalz;Ratio of human res.(sc./tech.) to labour force (%);39.60;41.50;39.10;38.30;38.90;41.60;43.10
Rheinland-Pfalz;Tertiary graduation rate (%);18.29;19.55;21.94;21.52;24.01;25.88;27.92
Rheinland-Pfalz;Third-p. funds inst. of h.ed. per prof.(EUR 1,000);70.93;71.57;75.00;76.14;80.84;88.51;88.26
Rheinland-Pfalz;High-tech employment as prop. of total empl. (%);1.19;1.70;1.18;...;1.36;...;...
Rheinland-Pfalz;Patent applications (EPO) per 1,000,000 inhab.;271.33;284.80;311.24;275.50;293.47;144.59;...
Saarland;R&D expenditure as a proportion of GDP (%);1.09;1.09;1.06;1.00;1.08;1.13;1.26
Saarland;R&D exp. as proportion of GDP - business sector(%);0.40;0.39;0.33;0.34;0.44;0.46;0.51
Saarland;R&D exp. as proportion of GDP - gov. sector (%);0.24;0.25;0.30;0.29;0.29;0.34;0.38
Saarland;R&D exp. as prop. of GDP - higher educ. sector (%);0.45;0.46;0.43;0.37;0.35;0.33;0.38
Saarland;R&D staff as a proportion of the labour force (%);0.60;...;0.56;...;0.68;...;0.66
Saarland;R&D staff as prop.of labour force - bus.sector (%);0.21;...;0.18;...;0.26;...;0.28
Saarland;R&D staff as prop.of labour force - gov.sector (%);0.14;0.15;0.14;0.14;0.18;0.18;0.19
Saarland;R&D staff as prop.of labour f. - higher ed.sec.(%);0.26;0.25;0.24;0.24;0.23;0.20;0.19
Saarland;Ratio of human res.(sc./tech.) to labour force (%);36.10;37.30;35.30;34.20;37.90;35.50;40.60
Saarland;Tertiary graduation rate (%);15.19;17.07;16.07;15.89;18.31;18.53;20.07
Saarland;Third-p. funds inst. of h.ed. per prof.(EUR 1,000);89.94;105.90;95.80;102.51;102.95;111.34;114.16
Saarland;High-tech employment as prop. of total empl. (%);...;...;...;...;...;...;...
Saarland;Patent applications (EPO) per 1,000,000 inhab.;137.66;142.28;154.72;151.70;147.34;79.67;...
Sachsen;R&D expenditure as a proportion of GDP (%);2.21;2.16;2.34;2.29;2.59;2.76;2.68
Sachsen;R&D exp. as proportion of GDP - business sector(%);1.02;1.00;1.07;1.10;1.34;1.41;1.17
Sachsen;R&D exp. as proportion of GDP - gov. sector (%);0.60;0.59;0.65;0.64;0.66;0.71;0.81
Sachsen;R&D exp. as prop. of GDP - higher educ. sector (%);0.59;0.56;0.62;0.54;0.59;0.65;0.69
Sachsen;R&D staff as a proportion of the labour force (%);0.92;...;0.89;...;1.04;...;1.10
Sachsen;R&D staff as prop.of labour force - bus.sector (%);0.42;...;0.42;...;0.50;...;0.49
Sachsen;R&D staff as prop.of labour force - gov.sector (%);0.23;0.22;0.22;0.23;0.25;0.27;0.28
Sachsen;R&D staff as prop.of labour f. - higher ed.sec.(%);0.27;0.25;0.25;0.24;0.29;0.29;0.33
Sachsen;Ratio of human res.(sc./tech.) to labour force (%);37.90;39.10;40.20;40.40;41.30;39.90;41.80
Sachsen;Tertiary graduation rate (%);19.64;19.79;20.67;22.20;24.51;25.88;28.84
Sachsen;Third-p. funds inst. of h.ed. per prof.(EUR 1,000);82.73;92.31;91.92;103.78;117.56;148.04;165.64
Sachsen;High-tech employment as prop. of total empl. (%);1.63;1.84;1.76;2.31;2.17;1.64;...
Sachsen;Patent applications (EPO) per 1,000,000 inhab.;81.30;80.80;95.42;98.41;106.33;66.17;...
Sachsen-Anhalt;R&D expenditure as a proportion of GDP (%);1.15;1.10;1.14;1.22;1.14;1.13;1.32
Sachsen-Anhalt;R&D exp. as proportion of GDP - business sector(%);0.28;0.28;0.33;0.35;0.34;0.35;0.43
Sachsen-Anhalt;R&D exp. as proportion of GDP - gov. sector (%);0.37;0.39;0.39;0.44;0.40;0.38;0.46
Sachsen-Anhalt;R&D exp. as prop. of GDP - higher educ. sector (%);0.50;0.44;0.42;0.43;0.39;0.39;0.44
Sachsen-Anhalt;R&D staff as a proportion of the labour force (%);...;...;...;...;0.50;...;0.55
Sachsen-Anhalt;R&D staff as prop.of labour force - bus.sector (%);...;...;...;...;0.17;...;0.20
Sachsen-Anhalt;R&D staff as prop.of labour force - gov.sector (%);...;...;...;...;0.16;0.16;0.18
Sachsen-Anhalt;R&D staff as prop.of labour f. - higher ed.sec.(%);...;...;...;...;0.17;0.16;0.17
Sachsen-Anhalt;Ratio of human res.(sc./tech.) to labour force (%);35.20;34.60;36.30;33.10;35.50;33.30;37.30
Sachsen-Anhalt;Tertiary graduation rate (%);13.29;14.86;16.45;16.96;17.51;21.82;25.55
Sachsen-Anhalt;Third-p. funds inst. of h.ed. per prof.(EUR 1,000);74.57;62.11;69.62;77.26;74.77;89.28;95.05
Sachsen-Anhalt;High-tech employment as prop. of total empl. (%);0.84;0.76;...;...;...;...;...
Sachsen-Anhalt;Patent applications (EPO) per 1,000,000 inhab.;54.60;33.80;42.86;47.71;49.61;24.56;...
Schleswig-Holstein;R&D expenditure as a proportion of GDP (%);1.09;1.06;1.13;1.20;1.19;1.22;1.25
Schleswig-Holstein;R&D exp. as proportion of GDP - business sector(%);0.48;0.48;0.52;0.54;0.53;0.55;0.56
Schleswig-Holstein;R&D exp. as proportion of GDP - gov. sector (%);0.31;0.31;0.30;0.31;0.31;0.32;0.34
Schleswig-Holstein;R&D exp. as prop. of GDP - higher educ. sector (%);0.30;0.28;0.31;0.35;0.35;0.35;0.35
Schleswig-Holstein;R&D staff as a proportion of the labour force (%);0.54;...;0.54;...;0.56;...;0.61
Schleswig-Holstein;R&D staff as prop.of labour force - bus.sector (%);0.22;...;0.23;...;0.25;...;0.27
Schleswig-Holstein;R&D staff as prop.of labour force - gov.sector (%);0.16;0.17;0.16;0.16;0.15;0.16;0.17
Schleswig-Holstein;R&D staff as prop.of labour f. - higher ed.sec.(%);0.16;0.14;0.15;0.17;0.16;0.16;0.17
Schleswig-Holstein;Ratio of human res.(sc./tech.) to labour force (%);40.70;40.00;39.80;38.30;42.00;40.20;39.20
Schleswig-Holstein;Tertiary graduation rate (%);13.56;14.58;15.42;15.75;18.52;20.03;19.48
Schleswig-Holstein;Third-p. funds inst. of h.ed. per prof.(EUR 1,000);82.62;83.03;87.23;112.24;110.09;129.13;125.41
Schleswig-Holstein;High-tech employment as prop. of total empl. (%);2.01;1.61;1.71;2.15;1.83;...;...
Schleswig-Holstein;Patent applications (EPO) per 1,000,000 inhab.;152.42;144.89;139.83;147.03;149.71;109.99;...
Thüringen;R&D expenditure as a proportion of GDP (%);1.84;1.81;1.81;1.83;1.81;1.91;2.05
Thüringen;R&D exp. as proportion of GDP - business sector(%);0.98;0.97;0.95;0.98;0.93;0.96;0.99
Thüringen;R&D exp. as proportion of GDP - gov. sector (%);0.38;0.40;0.38;0.38;0.42;0.45;0.50
Thüringen;R&D exp. as prop. of GDP - higher educ. sector (%);0.48;0.44;0.48;0.47;0.47;0.50;0.56
Thüringen;R&D staff as a proportion of the labour force (%);0.74;...;0.77;...;0.78;...;0.85
Thüringen;R&D staff as prop.of labour force - bus.sector (%);0.39;...;0.40;...;0.41;...;0.44
Thüringen;R&D staff as prop.of labour force - gov.sector (%);0.16;0.16;0.16;0.17;0.17;0.19;0.19
Thüringen;R&D staff as prop.of labour f. - higher ed.sec.(%);0.20;0.18;0.20;0.19;0.20;0.22;0.23
Thüringen;Ratio of human res.(sc./tech.) to labour force (%);38.10;39.70;39.00;39.90;36.20;40.80;41.50
Thüringen;Tertiary graduation rate (%);14.60;16.90;19.19;20.48;20.90;23.67;26.76
Thüringen;Third-p. funds inst. of h.ed. per prof.(EUR 1,000);65.00;65.38;67.09;82.45;93.29;99.39;115.66
Thüringen;High-tech employment as prop. of total empl. (%);2.02;2.07;2.02;2.73;2.80;3.21;...
Thüringen;Patent applications (EPO) per 1,000,000 inhab.;101.86;111.83;111.23;115.85;113.23;86.19;...
Total;R&D expenditure as a proportion of GDP (%);2.52;2.49;2.49;2.54;2.53;2.68;2.80
Total;R&D exp. as proportion of GDP - business sector(%);1.76;1.74;1.72;1.77;1.78;1.86;1.89
Total;R&D exp. as proportion of GDP - gov. sector (%);0.34;0.34;0.35;0.35;0.35;0.38;0.41
Total;R&D exp. as prop. of GDP - higher educ. sector (%);0.43;0.41;0.41;0.41;0.41;0.45;0.49
Total;R&D staff as a proportion of the labour force (%);1.19;1.17;1.15;1.17;1.21;1.25;1.28
Total;R&D staff as prop.of labour force - bus.sector (%);0.75;0.74;0.74;0.75;0.77;0.80;0.80
Total;R&D staff as prop.of labour force - gov.sector (%);0.19;0.19;0.18;0.19;0.19;0.20;0.21
Total;R&D staff as prop.of labour f. - higher ed.sec.(%);0.25;0.24;0.23;0.23;0.25;0.26;0.28
Total;Ratio of human res.(sc./tech.) to labour force (%);40.00;40.50;40.70;40.70;41.20;41.70;42.40
Total;Tertiary graduation rate (%);18.43;19.48;21.06;22.23;24.09;26.17;29.19
Total;Third-p. funds inst. of h.ed. per prof.(EUR 1,000);93.31;93.99;100.02;107.65;118.23;133.02;141.87
Total;High-tech employment as prop. of total empl. (%);1.91;1.84;1.73;1.77;1.77;1.88;...
Total;Patent applications (EPO) per 1,000,000 inhab.;266.47;277.25;286.66;286.30;287.41;176.86;...
__________
"Sources:
Federal Statistical Office;
Donors' Association for the Promotion of Sciences and
Humanities in Germany - Science Statistics;
European Union labour force survey;
Eurostat"
© Federal Statistical Office, Wiesbaden 2020
created: 2020-11-25 / 17:09:56
