LFDNR;TITEL;VERFASSERIN;ART;JAHR;MONAT;URL_BERICHT
34;Monatsbericht August 2010;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2010;8;https://www.wien.gv.at/umwelt/luft/pdf/iglmb201008.pdf
35;Monatsbericht September 2010;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2010;9;https://www.wien.gv.at/umwelt/luft/pdf/iglmb201009.pdf
36;Monatsbericht Oktober 2010;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2010;10;https://www.wien.gv.at/umwelt/luft/pdf/iglmb201010.pdf
37;Monatsbericht November 2010;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2010;11;https://www.wien.gv.at/umwelt/luft/pdf/iglmb201011.pdf
38;Monatsbericht Dezember 2010;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2010;12;https://www.wien.gv.at/umwelt/luft/pdf/iglmb201012.pdf
39;Jahresbericht 2010;Wiener Umweltschutzabteilung (MA 22);Jahresbericht;2010;;https://www.wien.gv.at/umwelt/luft/pdf/igljb2010.pdf
40;Monatsbericht Jänner 2011;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2011;1;https://www.wien.gv.at/umwelt/luft/pdf/iglmb201101.pdf
41;Monatsbericht Februar 2011;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2011;2;https://www.wien.gv.at/umwelt/luft/pdf/iglmb201102.pdf
42;Monatsbericht März 2011;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2011;3;https://www.wien.gv.at/umwelt/luft/pdf/iglmb201103.pdf
43;Monatsbericht April 2011;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2011;4;https://www.wien.gv.at/umwelt/luft/pdf/iglmb201104.pdf
44;Monatsbericht Mai 2011;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2011;5;https://www.wien.gv.at/umwelt/luft/pdf/iglmb201105.pdf
45;Monatsbericht Juni 2011;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2011;6;https://www.wien.gv.at/umwelt/luft/pdf/iglmb201106.pdf
46;Monatsbericht Juli 2011;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2011;7;https://www.wien.gv.at/umwelt/luft/pdf/iglmb201107.pdf
47;Monatsbericht August 2011;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2011;8;https://www.wien.gv.at/umwelt/luft/pdf/iglmb201108.pdf
48;Monatsbericht September 2011;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2011;9;https://www.wien.gv.at/umwelt/luft/pdf/iglmb201109.pdf
49;Monatsbericht Oktober 2011;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2011;10;https://www.wien.gv.at/umwelt/luft/pdf/iglmb201110.pdf
50;Monatsbericht November 2011;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2011;11;https://www.wien.gv.at/umwelt/luft/pdf/iglmb201111.pdf
51;Monatsbericht Dezember 2011;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2011;12;https://www.wien.gv.at/umwelt/luft/pdf/iglmb201112.pdf
52;Jahresbericht 2011;Wiener Umweltschutzabteilung (MA 22);Jahresbericht;2011;;https://www.wien.gv.at/umwelt/luft/pdf/igljb2011.pdf
53;Monatsbericht Jänner 2012;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2012;1;https://www.wien.gv.at/umwelt/luft/pdf/iglmb201201.pdf
54;Monatsbericht Februar 2012;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2012;2;https://www.wien.gv.at/umwelt/luft/pdf/iglmb201202.pdf
55;Monatsbericht März 2012;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2012;3;https://www.wien.gv.at/umwelt/luft/pdf/iglmb201203.pdf
56;Monatsbericht April 2012;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2012;4;https://www.wien.gv.at/umwelt/luft/pdf/iglmb201204.pdf
57;Monatsbericht Mai 2012;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2012;5;https://www.wien.gv.at/umwelt/luft/pdf/iglmb201205.pdf
58;Monatsbericht Juni 2012;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2012;6;https://www.wien.gv.at/umwelt/luft/pdf/iglmb201206.pdf
59;Monatsbericht Juli 2012;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2012;7;https://www.wien.gv.at/umwelt/luft/pdf/iglmb201207.pdf
60;Monatsbericht August 2012;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2012;8;https://www.wien.gv.at/umwelt/luft/pdf/iglmb201208.pdf
61;Monatsbericht September 2012;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2012;9;https://www.wien.gv.at/umwelt/luft/pdf/iglmb201209.pdf
62;Monatsbericht Oktober 2012;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2012;10;https://www.wien.gv.at/umwelt/luft/pdf/iglmb201210.pdf
63;Monatsbericht November 2012;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2012;11;https://www.wien.gv.at/umwelt/luft/pdf/iglmb201211.pdf
64;Monatsbericht Dezember 2012;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2012;12;https://www.wien.gv.at/umwelt/luft/pdf/iglmb201212.pdf
65;Jahresbericht 2012;Wiener Umweltschutzabteilung (MA 22);Jahresbericht;2012;;https://www.wien.gv.at/umwelt/luft/pdf/luftguete2012.pdf
66;Monatsbericht Jänner 2013;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2013;1;https://www.wien.gv.at/umwelt/luft/pdf/iglmb201301.pdf
67;Monatsbericht Februar 2013;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2013;2;https://www.wien.gv.at/umwelt/luft/pdf/luftguete201302.pdf
68;Monatsbericht März 2013;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2013;3;https://www.wien.gv.at/umwelt/luft/pdf/luftguete201303.pdf
69;Monatsbericht April 2013;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2013;4;https://www.wien.gv.at/umwelt/luft/pdf/luftguete201304.pdf
70;Monatsbericht Mai 2013;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2013;5;https://www.wien.gv.at/umwelt/luft/pdf/luftguete201305.pdf
71;Monatsbericht Juni 2013;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2013;6;https://www.wien.gv.at/umwelt/luft/pdf/luftguete201306.pdf
72;Monatsbericht Juli 2013;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2013;7;https://www.wien.gv.at/umwelt/luft/pdf/luftguete201307.pdf
73;Monatsbericht August 2013;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2013;8;https://www.wien.gv.at/umwelt/luft/pdf/luftguete201308.pdf
74;Monatsbericht September 2013;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2013;9;https://www.wien.gv.at/umwelt/luft/pdf/luftguete201309.pdf
75;Monatsbericht Oktober 2013;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2013;10;https://www.wien.gv.at/umwelt/luft/pdf/luftguete201310.pdf
76;Monatsbericht November 2013;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2013;11;https://www.wien.gv.at/umwelt/luft/pdf/luftguete201311.pdf
77;Monatsbericht Dezember 2013;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2013;12;https://www.wien.gv.at/umwelt/luft/pdf/luftguete201312.pdf
78;Jahresbericht 2013;Wiener Umweltschutzabteilung (MA 22);Jahresbericht;2013;;https://www.wien.gv.at/umwelt/luft/pdf/luftguete2013.pdf
79;Monatsbericht Jänner 2014;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2014;1;https://www.wien.gv.at/umwelt/luft/pdf/luftguete201401.pdf
80;Monatsbericht Februar 2014;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2014;2;https://www.wien.gv.at/umwelt/luft/pdf/luftguete201402.pdf
81;Monatsbericht März 2014;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2014;3;https://www.wien.gv.at/umwelt/luft/pdf/luftguete201403.pdf
82;Monatsbericht April 2014;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2014;4;https://www.wien.gv.at/umwelt/luft/pdf/luftguete201404.pdf
83;Monatsbericht Mai 2014;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2014;5;https://www.wien.gv.at/umwelt/luft/pdf/luftguete201405.pdf
84;Monatsbericht Juni 2014;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2014;6;https://www.wien.gv.at/umwelt/luft/pdf/luftguete201406.pdf
85;Monatsbericht Juli 2014;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2014;7;https://www.wien.gv.at/umwelt/luft/pdf/luftguete201407.pdf
86;Monatsbericht August 2014;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2014;8;https://www.wien.gv.at/umwelt/luft/pdf/luftguete201408.pdf
87;Monatsbericht September 2014;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2014;9;https://www.wien.gv.at/umwelt/luft/pdf/luftguete201409.pdf
88;Monatsbericht Oktober 2014;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2014;10;https://www.wien.gv.at/umwelt/luft/pdf/luftguete201410.pdf
89;Monatsbericht November 2014;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2014;11;https://www.wien.gv.at/umwelt/luft/pdf/luftguete201411.pdf
90;Monatsbericht Dezember 2014;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2014;12;https://www.wien.gv.at/umwelt/luft/pdf/luftguete201412.pdf
91;Jahresbericht 2014;Wiener Umweltschutzabteilung (MA 22);Jahresbericht;2014;;https://www.wien.gv.at/umwelt/luft/pdf/luftguete2014.pdf
92;Monatsbericht Jänner 2015;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2015;1;https://www.wien.gv.at/umwelt/luft/pdf/luftguete201501.pdf
93;Monatsbericht Februar 2015;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2015;2;https://www.wien.gv.at/umwelt/luft/pdf/luftguete201502.pdf
94;Monatsbericht März 2015;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2015;3;https://www.wien.gv.at/umwelt/luft/pdf/luftguete201503.pdf
95;Monatsbericht April 2015;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2015;4;https://www.wien.gv.at/umwelt/luft/pdf/luftguete201504.pdf
96;Monatsbericht Mai 2015;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2015;5;https://www.wien.gv.at/umwelt/luft/pdf/luftguete201505.pdf
97;Monatsbericht Juni 2015;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2015;6;https://www.wien.gv.at/umwelt/luft/pdf/luftguete201506.pdf
98;Monatsbericht Juli 2015;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2015;7;https://www.wien.gv.at/umwelt/luft/pdf/luftguete201507.pdf
99;Monatsbericht August 2015;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2015;8;https://www.wien.gv.at/umwelt/luft/pdf/luftguete201508.pdf
100;Monatsbericht September 2015;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2015;9;https://www.wien.gv.at/umwelt/luft/pdf/luftguete201509.pdf
101;Monatsbericht Oktober 2015;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2015;10;https://www.wien.gv.at/umwelt/luft/pdf/luftguete201510.pdf
102;Monatsbericht November 2015;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2015;11;https://www.wien.gv.at/umwelt/luft/pdf/luftguete201511.pdf
103;Monatsbericht Dezember 2015;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2015;12;https://www.wien.gv.at/umwelt/luft/pdf/luftguete201512.pdf
104;Jahresbericht 2015;Wiener Umweltschutzabteilung (MA 22);Jahresbericht;2015;;https://www.wien.gv.at/umwelt/luft/pdf/luftguete2015.pdf
105;Monatsbericht Jänner 2016;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2016;1;https://www.wien.gv.at/umwelt/luft/pdf/luftguete201601.pdf
106;Monatsbericht Februar 2016;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2016;2;https://www.wien.gv.at/umwelt/luft/pdf/luftguete201602.pdf
107;Monatsbericht März 2016;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2016;3;https://www.wien.gv.at/umwelt/luft/pdf/luftguete201603.pdf
108;Monatsbericht April 2016;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2016;4;https://www.wien.gv.at/umwelt/luft/pdf/luftguete201604.pdf
109;Monatsbericht Mai 2016;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2016;5;https://www.wien.gv.at/umwelt/luft/pdf/luftguete201605.pdf
110;Monatsbericht Juni 2016;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2016;6;https://www.wien.gv.at/umwelt/luft/pdf/luftguete201606.pdf
111;Monatsbericht Juli 2016;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2016;7;https://www.wien.gv.at/umwelt/luft/pdf/luftguete201607.pdf
112;Monatsbericht August 2016;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2016;8;https://www.wien.gv.at/umwelt/luft/pdf/luftguete201608.pdf
113;Monatsbericht September 2016;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2016;9;https://www.wien.gv.at/umwelt/luft/pdf/luftguete201609.pdf
114;Monatsbericht Oktober 2016;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2016;10;https://www.wien.gv.at/umwelt/luft/pdf/luftguete201610.pdf
115;Monatsbericht November 2016;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2016;11;https://www.wien.gv.at/umwelt/luft/pdf/luftguete201611.pdf
116;Monatsbericht Dezember 2016;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2016;12;https://www.wien.gv.at/umwelt/luft/pdf/luftguete201612.pdf
117;Jahresbericht 2016;Wiener Umweltschutzabteilung (MA 22);Jahresbericht;2016;;https://www.wien.gv.at/umwelt/luft/pdf/luftguete2016.pdf
118;Monatsbericht Jänner 2017;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2017;1;https://www.wien.gv.at/umwelt/luft/pdf/luftguete201701.pdf
119;Monatsbericht Februar 2017;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2017;2;https://www.wien.gv.at/umwelt/luft/pdf/luftguete201702.pdf
120;Monatsbericht März 2017;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2017;3;https://www.wien.gv.at/umwelt/luft/pdf/luftguete201703.pdf
121;Monatsbericht April 2017;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2017;4;https://www.wien.gv.at/umwelt/luft/pdf/luftguete201704.pdf
122;Monatsbericht Mai 2017;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2017;5;https://www.wien.gv.at/umwelt/luft/pdf/luftguete201705.pdf
123;Monatsbericht Juni 2017;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2017;6;https://www.wien.gv.at/umwelt/luft/pdf/luftguete201706.pdf
124;Monatsbericht Juli 2017;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2017;7;https://www.wien.gv.at/umwelt/luft/pdf/luftguete201707.pdf
125;Monatsbericht August 2017;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2017;8;https://www.wien.gv.at/umwelt/luft/pdf/luftguete201708.pdf
126;Monatsbericht September 2017;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2017;9;https://www.wien.gv.at/umwelt/luft/pdf/luftguete201709.pdf
127;Monatsbericht Oktober 2017;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2017;10;https://www.wien.gv.at/umwelt/luft/pdf/luftguete201710.pdf
128;Monatsbericht November 2017;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2017;11;https://www.wien.gv.at/umwelt/luft/pdf/luftguete201711.pdf
129;Monatsbericht Dezember 2017;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2017;12;https://www.wien.gv.at/umwelt/luft/pdf/luftguete201712.pdf
130;Jahresbericht 2017;Wiener Umweltschutzabteilung (MA 22);Jahresbericht;2017;;https://www.wien.gv.at/umwelt/luft/pdf/luftguete2017.pdf
131;Monatsbericht Jänner 2018;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2018;1;https://www.wien.gv.at/umwelt/luft/pdf/luftguete201801.pdf
132;Monatsbericht Februar 2018;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2018;2;https://www.wien.gv.at/umwelt/luft/pdf/luftguete201802.pdf
133;Monatsbericht März 2018;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2018;3;https://www.wien.gv.at/umwelt/luft/pdf/luftguete201803.pdf
134;Monatsbericht April 2018;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2018;4;https://www.wien.gv.at/umwelt/luft/pdf/luftguete201804.pdf
135;Monatsbericht Mai 2018;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2018;5;https://www.wien.gv.at/umwelt/luft/pdf/luftguete201805.pdf
136;Monatsbericht Juni 2018;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2018;6;https://www.wien.gv.at/umwelt/luft/pdf/luftguete201806.pdf
137;Monatsbericht Juli 2018;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2018;7;https://www.wien.gv.at/umwelt/luft/pdf/luftguete201807.pdf
138;Monatsbericht August 2018;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2018;8;https://www.wien.gv.at/umwelt/luft/pdf/luftguete201808.pdf
139;Monatsbericht September 2018;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2018;9;https://www.wien.gv.at/umwelt/luft/pdf/luftguete201809.pdf
140;Monatsbericht Oktober 2018;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2018;10;https://www.wien.gv.at/umwelt/luft/pdf/luftguete201810.pdf
141;Monatsbericht November 2018;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2018;11;https://www.wien.gv.at/umwelt/luft/pdf/luftguete201811.pdf
142;Monatsbericht Dezember 2018;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2018;12;https://www.wien.gv.at/umwelt/luft/pdf/luftguete201812.pdf
143;Jahresbericht 2018;Wiener Umweltschutzabteilung (MA 22);Jahresbericht;2018;;https://www.wien.gv.at/umwelt/luft/pdf/luftguete2018.pdf
144;Monatsbericht Jänner 2019;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2019;1;https://www.wien.gv.at/umwelt/luft/pdf/luftguete201901.pdf
145;Monatsbericht Februar 2019;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2019;2;https://www.wien.gv.at/umwelt/luft/pdf/luftguete201902.pdf
146;Monatsbericht März 2019;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2019;3;https://www.wien.gv.at/umwelt/luft/pdf/luftguete201903.pdf
147;Monatsbericht April 2019;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2019;4;https://www.wien.gv.at/umwelt/luft/pdf/luftguete201904.pdf
148;Monatsbericht Mai 2019;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2019;5;https://www.wien.gv.at/umwelt/luft/pdf/luftguete201905.pdf
149;Monatsbericht Juni 2019;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2019;6;https://www.wien.gv.at/umwelt/luft/pdf/luftguete201906.pdf
150;Monatsbericht August 2019;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2019;8;https://www.wien.gv.at/umwelt/luft/pdf/luftguete201908.pdf
151;Monatsbericht September 2019;Wiener Umweltschutzabteilung (MA 22);Monatsbericht;2019;9;https://www.wien.gv.at/umwelt/luft/pdf/luftguete201909.pdf
;;;;;;
1;Monatsbericht October 2020;;;2020;10;https://www.wien.gv.at/umwelt/luft/pdf/luftguete202010.pdf
2;Monatsbericht November 2020;;;2020;11;https://www.wien.gv.at/umwelt/luft/pdf/luftguete202011.pdf
;;;;;;
1;Monatsbericht December 2020;;;2020;12;https://www.wien.gv.at/umwelt/luft/pdf/luftguete202012.pdf
2;Monatsbericht April 2020;;;2020;4;https://www.wien.gv.at/umwelt/luft/pdf/luftguete202004.pdf
;;;;;;
1;Monatsbericht May 2020;;;2020;5;https://www.wien.gv.at/umwelt/luft/pdf/luftguete202005.pdf
2;Monatsbericht June 2020;;;2020;6;https://www.wien.gv.at/umwelt/luft/pdf/luftguete202006.pdf
;;;;;;
1;Monatsbericht July 2020;;;2020;7;https://www.wien.gv.at/umwelt/luft/pdf/luftguete202007.pdf
